epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.572,1.24516,1.7388,1.52451,0.72234,0.7099,0.73668,0.38501,1.48896,1.79736,2.06971,0.000663446,0.000663446,0.000663446
2,195.301,1.32615,1.37136,1.58248,0.76959,0.72014,0.76983,0.40763,1.51758,1.21761,2.01548,0.00130378,0.00130378,0.00130378
3,285.091,1.34104,1.25102,1.58272,0.68669,0.56314,0.61,0.32878,1.67688,1.67771,2.00485,0.00191771,0.00191771,0.00191771
4,375.147,1.30844,1.17033,1.5523,0.73225,0.66212,0.7602,0.44222,1.46799,1.41871,1.88257,0.0018812,0.0018812,0.0018812
5,465.619,1.28782,1.10469,1.53395,0.74178,0.74061,0.81031,0.50052,1.31876,1.11926,1.7123,0.0018416,0.0018416,0.0018416
6,554.962,1.2402,1.0407,1.50751,0.85346,0.78157,0.86295,0.56017,1.25816,0.89472,1.63206,0.001802,0.001802,0.001802
7,646.896,1.20681,0.9859,1.47592,0.91733,0.75746,0.85913,0.57777,1.19869,0.86747,1.62536,0.0017624,0.0017624,0.0017624
8,743.327,1.18792,0.97803,1.4634,0.87514,0.81229,0.88214,0.58745,1.23247,0.86336,1.6367,0.0017228,0.0017228,0.0017228
9,836.053,1.14642,0.92067,1.43473,0.88853,0.79863,0.8893,0.58371,1.21904,0.86492,1.63987,0.0016832,0.0016832,0.0016832
10,932.829,1.10678,0.88049,1.39904,0.88843,0.78814,0.8887,0.59999,1.16599,0.79478,1.56653,0.0016436,0.0016436,0.0016436
11,1038.05,1.0932,0.83596,1.39319,0.84154,0.79863,0.88826,0.58539,1.21622,0.88694,1.58708,0.001604,0.001604,0.001604
12,1129.51,1.07961,0.82815,1.37487,0.90875,0.80887,0.90146,0.59995,1.15312,0.74219,1.56027,0.0015644,0.0015644,0.0015644
13,1217.31,1.0663,0.81624,1.36846,0.89031,0.76109,0.89432,0.59034,1.19914,0.7985,1.58877,0.0015248,0.0015248,0.0015248
14,1304.55,1.04773,0.79305,1.3474,0.92339,0.87031,0.92313,0.64623,1.09725,0.65169,1.49684,0.0014852,0.0014852,0.0014852
15,1392.81,1.03578,0.76932,1.33131,0.88118,0.83525,0.91079,0.61997,1.1503,0.70298,1.51788,0.0014456,0.0014456,0.0014456
16,1480.94,1.02786,0.76414,1.32787,0.93886,0.8157,0.91822,0.63106,1.10572,0.66112,1.5089,0.001406,0.001406,0.001406
17,1568.48,1.00265,0.74025,1.3213,0.94449,0.83276,0.93068,0.65054,1.09139,0.6698,1.47842,0.0013664,0.0013664,0.0013664
18,1655.57,0.98381,0.71222,1.30547,0.91878,0.87031,0.93492,0.64775,1.10483,0.65502,1.50503,0.0013268,0.0013268,0.0013268
19,1743.99,0.97537,0.70244,1.29274,0.95985,0.81593,0.93324,0.64276,1.06378,0.64982,1.47737,0.0012872,0.0012872,0.0012872
20,1836.03,0.97058,0.70964,1.28918,0.90451,0.87286,0.93058,0.64162,1.0862,0.63506,1.47013,0.0012476,0.0012476,0.0012476
21,1929.9,0.95435,0.68484,1.27954,0.93972,0.84642,0.93133,0.64145,1.08728,0.63849,1.50269,0.001208,0.001208,0.001208
22,2023.64,0.96122,0.68679,1.27958,0.91172,0.84642,0.9394,0.65315,1.08328,0.63245,1.48006,0.0011684,0.0011684,0.0011684
23,2113.42,0.93364,0.66683,1.2692,0.93692,0.86183,0.93652,0.66909,1.04648,0.59143,1.45932,0.0011288,0.0011288,0.0011288
24,2202.08,0.92957,0.64486,1.25834,0.92615,0.85602,0.9391,0.65308,1.05779,0.61457,1.45106,0.0010892,0.0010892,0.0010892
25,2290.33,0.90923,0.6318,1.25345,0.90415,0.86921,0.93497,0.65506,1.03389,0.60645,1.42633,0.0010496,0.0010496,0.0010496
26,2378,0.90428,0.62562,1.24489,0.92574,0.82594,0.93705,0.66028,1.05818,0.61056,1.44516,0.00101,0.00101,0.00101
27,2469.08,0.89933,0.62069,1.23721,0.93085,0.88737,0.94852,0.66174,1.06608,0.58271,1.44292,0.0009704,0.0009704,0.0009704
28,2555.14,0.8944,0.61189,1.23754,0.92123,0.87817,0.94409,0.66944,1.05018,0.5686,1.44132,0.0009308,0.0009308,0.0009308
29,2642.24,0.87422,0.60091,1.22264,0.92848,0.86348,0.94375,0.67485,1.009,0.58169,1.39293,0.0008912,0.0008912,0.0008912
30,2729.01,0.86503,0.59362,1.21043,0.93086,0.87307,0.95162,0.67587,1.02015,0.55017,1.40782,0.0008516,0.0008516,0.0008516
31,2816.88,0.85678,0.57785,1.20286,0.93081,0.86689,0.94187,0.66985,1.02412,0.59724,1.4318,0.000812,0.000812,0.000812
32,2905.22,0.85757,0.5691,1.2081,0.92626,0.90035,0.94804,0.67391,1.05128,0.56821,1.44511,0.0007724,0.0007724,0.0007724
33,2992.79,0.84874,0.57637,1.20994,0.93509,0.88496,0.94614,0.69316,1.00462,0.55305,1.40029,0.0007328,0.0007328,0.0007328
34,3073.82,0.82826,0.55653,1.19111,0.98404,0.84188,0.9486,0.69348,1.01665,0.54326,1.42742,0.0006932,0.0006932,0.0006932
35,3163.13,0.82203,0.54375,1.18576,0.91688,0.90102,0.95325,0.68178,1.02228,0.54108,1.44896,0.0006536,0.0006536,0.0006536
36,3252.39,0.81041,0.53513,1.17965,0.95192,0.87842,0.95134,0.68206,1.01031,0.53808,1.40864,0.000614,0.000614,0.000614
37,3339.89,0.81085,0.52768,1.18067,0.93793,0.87674,0.94816,0.69144,1.01407,0.55258,1.41697,0.0005744,0.0005744,0.0005744
38,3427.82,0.80274,0.52612,1.17458,0.95153,0.88396,0.95579,0.6844,1.00887,0.53668,1.4251,0.0005348,0.0005348,0.0005348
39,3517.19,0.78888,0.51556,1.16173,0.92536,0.88859,0.94856,0.68325,1.00194,0.534,1.42239,0.0004952,0.0004952,0.0004952
40,3604.79,0.77859,0.50233,1.15393,0.96683,0.87713,0.95531,0.6992,0.99656,0.51255,1.40418,0.0004556,0.0004556,0.0004556
41,3713.43,0.70976,0.40873,1.1283,0.9154,0.87713,0.94661,0.6868,1.02054,0.53665,1.45046,0.000416,0.000416,0.000416
42,3797.97,0.68538,0.38353,1.10933,0.93565,0.87372,0.95089,0.69852,0.99779,0.5245,1.42583,0.0003764,0.0003764,0.0003764
43,3882.03,0.66125,0.36945,1.09234,0.96214,0.85324,0.9574,0.69212,1.01538,0.52815,1.45537,0.0003368,0.0003368,0.0003368
44,3966.63,0.6544,0.36025,1.08546,0.93601,0.87372,0.95001,0.68805,1.01821,0.5201,1.44482,0.0002972,0.0002972,0.0002972
45,4051,0.64705,0.35521,1.08319,0.92281,0.89764,0.95566,0.69632,1.0025,0.52992,1.43128,0.0002576,0.0002576,0.0002576
46,4135.07,0.62104,0.33662,1.05151,0.92567,0.88737,0.94715,0.69743,0.98537,0.51542,1.43948,0.000218,0.000218,0.000218
47,4219.14,0.61746,0.33888,1.05509,0.92832,0.884,0.94602,0.69629,0.99961,0.50556,1.44543,0.0001784,0.0001784,0.0001784
48,4302.53,0.60828,0.32711,1.04859,0.93953,0.87372,0.9507,0.70384,0.98769,0.49812,1.45429,0.0001388,0.0001388,0.0001388
49,4386.6,0.59976,0.32391,1.04667,0.93433,0.874,0.95189,0.70619,0.97619,0.51004,1.43465,9.92e-05,9.92e-05,9.92e-05
50,4471.06,0.59182,0.31659,1.03549,0.94098,0.87059,0.95211,0.70451,0.98417,0.50339,1.44465,5.96e-05,5.96e-05,5.96e-05
