epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.242,0.75656,0.50331,1.14136,0.95145,0.84642,0.95545,0.68096,1.02888,0.5356,1.4322,0.000663446,0.000663446,0.000663446
2,194.598,0.82955,0.55508,1.19041,0.92726,0.85666,0.92458,0.63581,1.08704,0.6581,1.52539,0.00131694,0.00131694,0.00131694
3,284.995,0.8835,0.61573,1.22753,0.90774,0.83953,0.91892,0.63564,1.07766,0.65959,1.50474,0.00195724,0.00195724,0.00195724
4,373.986,0.91787,0.63683,1.24624,0.9294,0.85369,0.92604,0.64819,1.07351,0.63883,1.51264,0.0019406,0.0019406,0.0019406
5,463.964,0.92958,0.64194,1.25335,0.9117,0.84575,0.92369,0.66463,1.06009,0.62517,1.4773,0.0019208,0.0019208,0.0019208
6,552.781,0.92337,0.64552,1.25602,0.91328,0.86261,0.92379,0.64591,1.08326,0.6629,1.48517,0.001901,0.001901,0.001901
7,642.932,0.9212,0.64575,1.25873,0.90299,0.81911,0.92659,0.63755,1.09183,0.64486,1.50251,0.0018812,0.0018812,0.0018812
8,732.038,0.91965,0.63459,1.25369,0.92635,0.82935,0.91826,0.63563,1.08469,0.65511,1.52853,0.0018614,0.0018614,0.0018614
9,821.757,0.91065,0.6344,1.24632,0.90221,0.85666,0.93495,0.63799,1.10992,0.63955,1.52453,0.0018416,0.0018416,0.0018416
10,912.199,0.88752,0.61631,1.23004,0.89264,0.86348,0.92949,0.6372,1.0731,0.65644,1.46987,0.0018218,0.0018218,0.0018218
11,1001.4,0.87966,0.59739,1.22245,0.91105,0.87396,0.93636,0.66319,1.07603,0.58792,1.49198,0.001802,0.001802,0.001802
12,1091.55,0.87833,0.60275,1.22176,0.91912,0.8942,0.94121,0.66522,1.0596,0.56928,1.503,0.0017822,0.0017822,0.0017822
13,1181.56,0.87222,0.59991,1.22096,0.88162,0.85666,0.92514,0.64587,1.11318,0.63985,1.53291,0.0017624,0.0017624,0.0017624
14,1271.82,0.86988,0.58689,1.21275,0.9452,0.88298,0.94533,0.66414,1.05434,0.56846,1.45379,0.0017426,0.0017426,0.0017426
15,1359.79,0.86224,0.579,1.19503,0.91099,0.87332,0.93081,0.64092,1.05752,0.61576,1.47542,0.0017228,0.0017228,0.0017228
16,1448.79,0.8637,0.58482,1.20256,0.95461,0.86133,0.93769,0.66043,1.05877,0.58279,1.48836,0.001703,0.001703,0.001703
17,1536.92,0.8425,0.57716,1.1998,0.91375,0.86774,0.93568,0.66795,1.05185,0.61135,1.46422,0.0016832,0.0016832,0.0016832
18,1624.99,0.82788,0.55179,1.18504,0.94102,0.88055,0.94445,0.6686,1.08824,0.59713,1.52799,0.0016634,0.0016634,0.0016634
19,1711.72,0.82617,0.55739,1.18441,0.90731,0.86863,0.93564,0.66811,1.05575,0.56413,1.46593,0.0016436,0.0016436,0.0016436
20,1799.63,0.82714,0.56011,1.18247,0.94002,0.87372,0.94427,0.68212,1.04007,0.57001,1.4541,0.0016238,0.0016238,0.0016238
21,1888.08,0.82792,0.55261,1.18799,0.94509,0.8811,0.94485,0.67604,1.03425,0.57422,1.47181,0.001604,0.001604,0.001604
22,1975.83,0.82136,0.55573,1.18159,0.94773,0.87031,0.93903,0.67536,1.03218,0.56116,1.45788,0.0015842,0.0015842,0.0015842
23,2063.8,0.80972,0.54845,1.17984,0.92929,0.90102,0.94319,0.68185,1.01773,0.53703,1.43837,0.0015644,0.0015644,0.0015644
24,2151.6,0.81389,0.54041,1.16894,0.91821,0.88127,0.95165,0.67413,1.0425,0.54887,1.47662,0.0015446,0.0015446,0.0015446
25,2237.92,0.81574,0.53522,1.17806,0.97092,0.83276,0.93505,0.67918,1.01017,0.54046,1.40469,0.0015248,0.0015248,0.0015248
26,2325.26,0.79002,0.51999,1.16231,0.94424,0.87713,0.94331,0.67293,1.02025,0.57948,1.43293,0.001505,0.001505,0.001505
27,2412.35,0.79743,0.52244,1.16459,0.93673,0.87372,0.93939,0.66808,1.03734,0.55491,1.4809,0.0014852,0.0014852,0.0014852
28,2499.02,0.78895,0.51918,1.16114,0.94994,0.82935,0.93641,0.66929,1.04435,0.56782,1.47614,0.0014654,0.0014654,0.0014654
29,2587.39,0.77494,0.5106,1.15057,0.91816,0.88064,0.94247,0.67249,1.03839,0.58784,1.46045,0.0014456,0.0014456,0.0014456
30,2677.2,0.78541,0.51072,1.14829,0.92058,0.87035,0.94267,0.66981,1.04713,0.55263,1.47291,0.0014258,0.0014258,0.0014258
31,2766.37,0.76515,0.49912,1.14042,0.93096,0.83276,0.94203,0.68097,1.00476,0.58069,1.45258,0.001406,0.001406,0.001406
32,2854.65,0.76449,0.49888,1.13727,0.96699,0.84642,0.9478,0.68096,1.03059,0.54387,1.47383,0.0013862,0.0013862,0.0013862
33,2942.04,0.76749,0.50097,1.14956,0.89169,0.89913,0.94661,0.67569,1.03778,0.56269,1.45679,0.0013664,0.0013664,0.0013664
